n_estimators,max_depth,learning_rate,num_leaves,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,val_bacc,val_f1_worse
100,-1,0.05,31,20,1.0,0.8,0.0,1.0,0.7069077013521459,0.35555555555555557
100,5,0.1,15,10,1.0,0.8,0.0,1.0,0.706143445032334,0.3953488372093023
100,5,0.05,15,20,1.0,0.8,0.0,0.1,0.7048794826572605,0.3448275862068966
100,3,0.05,63,10,1.0,1.0,0.0,0.1,0.704644326866549,0.304635761589404
100,-1,0.05,15,20,0.8,0.8,0.0,1.0,0.7033215755437977,0.32432432432432434
100,3,0.05,15,10,0.8,0.8,0.1,0.1,0.7025867136978249,0.3026315789473684
100,-1,0.1,31,20,1.0,0.8,0.1,1.0,0.7022633744855967,0.3835616438356164
100,3,0.05,15,10,1.0,1.0,0.0,1.0,0.7018224573780131,0.29447852760736193
100,3,0.2,31,30,1.0,1.0,0.1,1.0,0.7004997060552616,0.35514018691588783
100,3,0.1,15,30,1.0,0.8,0.1,1.0,0.6997354497354497,0.28776978417266186
100,5,0.05,31,30,0.8,0.8,0.1,1.0,0.6997354497354497,0.32786885245901637
100,3,0.1,63,30,1.0,0.8,0.1,1.0,0.6997354497354497,0.28776978417266186
100,5,0.05,63,30,1.0,0.8,0.1,1.0,0.6997354497354497,0.32786885245901637
300,3,0.05,31,30,0.8,0.8,0.1,0.1,0.6987066431510875,0.3448275862068966
100,3,0.1,63,10,0.8,0.8,0.0,1.0,0.6984714873603762,0.3262411347517731
100,-1,0.05,31,10,0.8,0.8,0.1,0.1,0.6981481481481482,0.3636363636363636
300,-1,0.1,63,10,1.0,1.0,0.0,1.0,0.6978835978835979,0.40625
100,5,0.1,31,10,0.8,0.8,0.1,0.1,0.6973838918283363,0.39473684210526316
300,3,0.05,15,30,0.8,0.8,0.0,0.1,0.6953556731334509,0.3247863247863248
300,3,0.05,31,30,1.0,0.8,0.0,0.1,0.6953556731334509,0.3247863247863248
100,-1,0.05,63,30,1.0,0.8,0.1,0.1,0.6953262786596119,0.35714285714285715
100,5,0.05,15,20,1.0,0.8,0.1,0.1,0.6940623162845384,0.31304347826086953
300,5,0.05,63,20,1.0,0.8,0.0,1.0,0.6940329218106996,0.39436619718309857
100,-1,0.05,63,20,1.0,0.8,0.1,0.1,0.6940329218106996,0.3636363636363636
100,5,0.05,31,30,1.0,1.0,0.0,1.0,0.6935626102292769,0.32786885245901637
100,5,0.05,31,20,1.0,1.0,0.1,1.0,0.6917695473251029,0.35
300,5,0.05,15,10,0.8,0.8,0.1,1.0,0.6912110523221634,0.4054054054054054
300,5,0.05,63,30,0.8,0.8,0.0,1.0,0.6901822457378013,0.3614457831325301
100,-1,0.1,63,30,0.8,0.8,0.1,1.0,0.6896531452087008,0.3661971830985915
100,-1,0.05,63,20,0.8,1.0,0.0,0.1,0.6894179894179895,0.42666666666666664
300,5,0.05,15,10,0.8,0.8,0.0,0.1,0.688124632569077,0.39999999999999997
100,-1,0.05,15,10,0.8,1.0,0.1,0.1,0.6876249265138155,0.3269230769230769
300,-1,0.05,15,10,0.8,1.0,0.1,1.0,0.6858024691358025,0.37837837837837845
300,-1,0.05,63,10,0.8,1.0,0.0,1.0,0.6855379188712521,0.4
300,-1,0.05,15,30,0.8,1.0,0.1,1.0,0.6855379188712521,0.36111111111111116
300,-1,0.05,15,30,1.0,1.0,0.1,1.0,0.6855379188712521,0.36111111111111116
100,5,0.05,63,30,0.8,1.0,0.1,0.1,0.6850676072898295,0.319327731092437
